,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
374,10301.0,"$200,000+",930,130,770,30,380
375,,,,,,,
376,10302.0,total,"8,250","3,870","2,310","1,940","1,520"
377,10302.0,"< $25,000",3250,2060,420,750,440
378,10302.0,"$25,000 - $49,999",1910,860,420,590,320
379,10302.0,"$50,000 - $74,999",1120,500,290,300,260
380,10302.0,"$75,000 -  $99,999",730,230,320,160,200
381,10302.0,"$100,000 - $199,999",1080,220,710,140,260
382,10302.0,"$200,000+",160,** ,150,** ,40
383,,,,,,,
384,10303.0,total,"12,430","5,910","2,700","3,570","1,940"
385,10303.0,"< $25,000",5200,3140,650,1340,610
386,10303.0,"$25,000 - $49,999",3070,1430,510,1060,450
387,10303.0,"$50,000 - $74,999",1790,700,400,630,340
388,10303.0,"$75,000 -  $99,999",1040,350,370,290,250
389,10303.0,"$100,000 - $199,999",1220,290,690,250,290
390,10303.0,"$200,000+",110,** ,80,** ,** 
391,,,,,,,
392,10304.0,total,"20,220","9,460","5,550","4,840","4,120"
393,10304.0,"< $25,000",8170,4910,1070,2090,1270
394,10304.0,"$25,000 - $49,999",4630,2140,950,1450,790
395,10304.0,"$50,000 - $74,999",2540,1160,670,650,550
396,10304.0,"$75,000 -  $99,999",1560,620,580,310,430
397,10304.0,"$100,000 - $199,999",2350,530,1470,290,720
398,10304.0,"$200,000+",970,100,810,50,360
399,,,,,,,
400,10305.0,total,"19,640","9,390","7,020","2,910","4,590"
401,10305.0,"< $25,000",6710,4340,1290,1000,1460
402,10305.0,"$25,000 - $49,999",4230,2150,1200,810,830
403,10305.0,"$50,000 - $74,999",2850,1380,920,470,680
404,10305.0,"$75,000 -  $99,999",2080,760,970,300,580
405,10305.0,"$100,000 - $199,999",3120,680,2100,300,850
406,10305.0,"$200,000+",650,80,540,30,190
407,,,,,,,
408,10306.0,total,"27,370","12,900","10,390","3,510","7,400"
409,10306.0,"< $25,000",8170,5670,1370,1010,2020
410,10306.0,"$25,000 - $49,999",5250,2930,1350,880,1300
411,10306.0,"$50,000 - $74,999",3950,2060,1140,610,1160
412,10306.0,"$75,000 -  $99,999",3060,1110,1390,470,920
413,10306.0,"$100,000 - $199,999",5440,980,3840,500,1550
414,10306.0,"$200,000+",1500,150,1300,40,450
415,,,,,,,
416,10307.0,total,"6,620","3,100","2,660",700,"1,510"
417,10307.0,"< $25,000",1820,1430,200,170,360
418,10307.0,"$25,000 - $49,999",1020,600,240,170,230
419,10307.0,"$50,000 - $74,999",880,480,240,120,210
420,10307.0,"$75,000 -  $99,999",720,260,330,100,210
421,10307.0,"$100,000 - $199,999",1540,290,1080,140,350
422,10307.0,"$200,000+",640,40,570,** ,150
423,,,,,,,
424,10308.0,total,"13,800","6,570","5,490","1,450","3,910"
425,10308.0,"< $25,000",3690,2790,520,340,950
426,10308.0,"$25,000 - $49,999",2370,1460,540,330,650
427,10308.0,"$50,000 - $74,999",2080,1100,620,290,630
428,10308.0,"$75,000 -  $99,999",1640,590,770,220,570
429,10308.0,"$100,000 - $199,999",3240,570,2350,250,910
430,10308.0,"$200,000+",780,60,690,20,200
431,,,,,,,
432,10309.0,total,"15,270","7,030","6,250","1,660","3,710"
433,10309.0,"< $25,000",3960,3000,510,390,900
434,10309.0,"$25,000 - $49,999",2600,1540,590,420,600
435,10309.0,"$50,000 - $74,999",2150,1150,650,290,520
